"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28835-80815","C","Zach","Zach Collins","Collins","10.91212139707623","66","3800","POR@PHO","POR","PHO","","","","",""
"28835-9654","SG","Vince","Vince Carter","Carter","13.13965475148168","58","3800","ATL@MEM","ATL","MEM","","","","",""
"28835-18376","SG","Damion","Damion Lee","Lee","22.380000813802084","15","3800","SAC@GS","GS","SAC","","","","",""
"28835-14515","SG","Iman","Iman Shumpert","Shumpert","11.335714067731585","14","3700","SAC@GS","SAC","GS","O","Foot","","",""
"28835-15548","SG","Andre","Andre Roberson","Roberson","17.82051282051282","39","3700","OKC@MIN","OKC","MIN","O","Kneecap","","",""
"28835-14533","PG","Shelvin","Shelvin Mack","Mack","17.104347118432973","69","3700","ATL@MEM","MEM","ATL","","","","",""
"28835-84703","PG","De'Anthony","De'Anthony Melton","Melton","0","0","3700","POR@PHO","PHO","POR","","","","",""
"28835-84702","SG","Lonnie","Lonnie Walker IV","Walker IV","0","0","3700","DET@SA","SA","DET","","","","",""
"28835-9956","SG","Wayne","Wayne Ellington","Ellington","17.85844124137581","77","3700","MIA@WAS","MIA","WAS","GTD","Ankle","","",""
"28835-84723","SG","Khyri","Khyri Thomas","Thomas","0","0","3700","DET@SA","DET","SA","","","","",""
"28835-9473","C","Tyson","Tyson Chandler","Chandler","20.67608642578125","46","3700","POR@PHO","PHO","POR","","","","",""
"28835-15669","C","Meyers","Meyers Leonard","Leonard","7.045454545454546","33","3700","POR@PHO","POR","PHO","","","","",""
"28835-15727","SG","Ben","Ben McLemore","McLemore","13.630356924874443","56","3700","SAC@GS","SAC","GS","","","","",""
"28835-66455","PF","Henry","Henry Ellenson","Ellenson","7.242105584395559","38","3700","DET@SA","DET","SA","","","","",""
"28835-23447","PF","Richaun","Richaun Holmes","Holmes","16.202083587646484","48","3700","POR@PHO","PHO","POR","","","","",""
"28835-9712","PG","Jose","Jose Calderon","Calderon","10.128069961280154","57","3700","DET@SA","DET","SA","","","","",""
"28835-9939","PG","Patty","Patty Mills","Mills","17.552439619855182","82","3600","DET@SA","SA","DET","","","","",""
"28835-14554","SG","E'Twaun","E'Twaun Moore","Moore","21.415853360804118","82","3600","NO@NY","NO","NY","","","","",""
"28835-84704","SG","Kevin","Kevin Huerter","Huerter","0","0","3600","ATL@MEM","ATL","MEM","","","","",""
"28835-9465","PG","Raymond","Raymond Felton","Felton","14.335365853658537","82","3600","OKC@MIN","OKC","MIN","","","","",""
"28835-17747","SG","Ian","Ian Clark","Clark","12.708108438027871","74","3600","NO@NY","NO","NY","","","","",""
"28835-9615","SG","Courtney","Courtney Lee","Lee","21.826316431949014","76","3600","NO@NY","NY","NO","O","Neck","","",""
"28835-9648","SF","Jeff","Jeff Green","Green","18.457691681690704","78","3600","MIA@WAS","WAS","MIA","","","","",""
"28835-49115","SG","Wayne","Wayne Selden","Selden","14.462857491629464","35","3600","ATL@MEM","MEM","ATL","","","","",""
"28835-19456","PG","Isaiah","Isaiah Canaan","Canaan","18.1","20","3500","POR@PHO","PHO","POR","O","Thumb","","",""
"28835-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","2.421428680419922","14","3500","SAC@GS","GS","SAC","","","","",""
"28835-101385","C","Ismaila","Ismaila Kane","Kane","0","0","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-101387","PG","Gabe","Gabe Vincent","Vincent","0","0","3500","SAC@GS","SAC","GS","","","","",""
"28835-49675","PG","Derrick","Derrick White","White","6.688235114602482","17","3500","DET@SA","SA","DET","","","","",""
"28835-16400","PG","Abdul","Abdul Gaddy","Gaddy","0","0","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-97299","SG","Zach","Zach Lofton","Lofton","0","0","3500","DET@SA","DET","SA","","","","",""
"28835-97298","PG","Jonathan","Jonathan Stark","Stark","0","0","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-16925","PF","Jarnell","Jarnell Stokes","Stokes","5.699999809265137","2","3500","MIA@WAS","MIA","WAS","","","","",""
"28835-66091","PF","Cheick","Cheick Diallo","Diallo","11.609615619365986","52","3500","NO@NY","NO","NY","","","","",""
"28835-12340","PF","Patrick","Patrick Patterson","Patterson","9.954877899914253","82","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-15417","SF","Solomon","Solomon Hill","Hill","10.016666412353516","12","3500","NO@NY","NO","NY","","","","",""
"28835-23097","SF","Tomas","Tomas Satoransky","Satoransky","18.484931841288528","73","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-15419","SG","Nick","Nick Johnson","Johnson","0","0","3500","DET@SA","SA","DET","","","","",""
"28835-66109","PF","Skal","Skal Labissiere","Labissiere","18.780000813802083","60","3500","SAC@GS","SAC","GS","","","","",""
"28835-12357","SG","Quincy","Quincy Pondexter","Pondexter","4.778260935907778","23","3500","DET@SA","SA","DET","","","","",""
"28835-9804","C","Alexis","Alexis Ajinca","Ajinca","13.651282677283653","39","3500","NO@NY","NO","NY","O","Quadriceps","","",""
